,Name
0,"Aaron, Willi"
1,"Aaron, Yitzhak"
2,"Aaronson, Yehoshua Moshe"
3,"Abadi (or Abady), Ervin"
4,"Abakumov, Viktor"
5,"Abakumow, Nikolaus"
6,Abala
7,"Abdelaziz, El Hachemi"
8,"Abdelkader, Agha"
9,"Abe, Artur"
10,"Abecassis, Jacob"
11,Abel
12,"Abel, Wolfgang"
13,"Abel, Xavier"
14,"Abels, Carl"
15,Aberman
16,"Aberman, Józef"
17,"Abetz, Otto"
18,"Abezgaus, Benjamin"
19,"Abezgaus, Hanna"
20,"Abitbol, Michel"
21,"Ablinger, Max"
22,"Abraham, Herbert"
23,"Abraham, Hilde Fanny"
24,"Abraham, Max"
25,"Abraham, Walter"
26,"Abrahams, Stephen"
27,"Abram, Iancu"
28,"Abram, Lajb"
29,Abramov
30,Abramov family
31,"Abramov, Pesach"
32,"Abramov, Yehoshua"
33,Abramovich
34,Abramovich family
35,"Abramovich, Velvel"
36,"Abramovici, Carol"
37,"Abramovici, Iosif"
38,"Abramovici, Pribluda Shloimu"
39,"Abramovitch, B. M."
40,"Abramovski, A."
41,"Abramovsky, Lev"
42,"Abramowicz-Rozencweig, Maria"
43,Abramowski
44,"Abrams, Creighton"
45,"Abramsohn, Paul"
46,"Abromeit, Franz"
47,Abromson
48,"Abs, Hermann J."
49,"Abukhovich, Albert M."
50,"Acgoua, Jean-Pierre"
51,"Achilles, Alois/August"
52,"Achs, Rudolf"
53,"Acker, Paula (née Löffler)"
54,"Ackerman, Moise"
55,"Ackermann, Leo"
56,"Ackmann, Heinrich"
57,Adam
58,Adam (doctor)
59,"Adam, André"
60,"Adam, Gottlieb"
61,"Adam, Karl"
62,"Adamaszkowa, Maria"
63,Adamcewicz
64,"Adamczuk, Józef"
65,Adamczyk
66,Adamczyk family
67,"Adamczyk, Franciszek"
68,"Adamczyk, Jan"
69,"Adamczyk, Marianna"
70,"Adami, Enrico"
71,"Adamou, Takēs"
72,"Adamov, Arthur"
73,"Adamovici, Iulian"
74,"Adamy, Andreas"
75,"Adelman, Yehuda"
76,"Adenauer, Konrad"
77,"Adler, A."
78,"Adler, David"
79,"Adler, Francis"
80,"Adler, Gertrud"
81,"Adler, Helene"
82,"Adler, Henry"
83,"Adler, Henryk"
84,"Adler, J."
85,"Adler, Moshe"
86,"Adler, Musia"
87,"Adler, Sara"
88,Admiralov
89,Adolph
90,"Adrian, Heinz"
91,"Aerts, Albert"
92,"Affek, Stanislaus"
93,"Afrikanova, S.N."
94,"Agafie, Vasile"
95,"Agafonow, Alexander"
96,"Agapie, Dumitru"
97,"Agapie, Vasile"
98,"Agarici, Viorica"
99,Agement
100,"Agnes, Adrien"
101,"Agulnik, Yitzchok"
102,"Ahlemann, Georg"
103,"Ahmed, Cheikh Chetout"
104,"Ahmed, Omar ben"
105,"Ahna, de (Major)"
106,"Ahne, Gustav"
107,Ahrens
108,"Ahrens, Christian"
109,"Ahtemberg, Moise"
110,Ai (Hauptmann)
111,"Aichenstein, Abraham"
112,"Aichhdzer, Ottomar"
113,"Aichholz, Hans"
114,"Aigner, Leslie"
115,Aimone (prince)
116,"Aisikowicz, Chaim"
117,"Aizemberg, Iosif"
118,"Aizenberg, Moshel"
