Volume,Name,Type,Subtype,Current Country,Latitude,Longitude,Location Accuracy
1,'s-Gravenhage,Concentration Camp,Subcamp,Netherlands,52.0833,4.3000,Exact
1,Abteroda,Concentration Camp,Subcamp,Germany,50.9000,10.0667,Exact
1,Adlershorst,Concentration Camp,Subcamp,Poland,53.4500,20.5333,Exact
1,Ahrensbök-Holstendorf,Early Concentration Camp,N/A,Germany,54.0167,10.5833,Exact
1,"Alderney (Kanalinsel, SS-Bbde I)",Concentration Camp,Subcamp,United Kingdom,49.7060,-2.2145,Exact
1,Allendorf (Münchmühle),Concentration Camp,Subcamp,Germany,50.8281,9.0178,Exact
1,Alt Daber,Early Concentration Camp,N/A,Germany,53.2000,12.5000,Exact
1,Alt-Garge,Concentration Camp,Subcamp,Germany,53.2667,10.8000,Exact
1,Altenberg,Early Concentration Camp,N/A,Czechia,50.7667,13.7667,Exact
1,Altenburg,Concentration Camp,Subcamp,Germany,50.9833,12.4500,Exact
1,Altenhammer,Concentration Camp,Subcamp,Germany,49.4167,12.3167,Exact
1,Althammer,Concentration Camp,Subcamp,Poland,51.4000,17.4667,Exact
1,Amersfoort,Concentration Camp,Subcamp,Netherlands,52.1500,5.3833,Exact
1,Amstetten (Bahnbau I - Men),Concentration Camp,Subcamp,Austria,48.1167,14.8667,Exact
1,Ankenbuck,Early Concentration Camp,N/A,Germany,48.0000,8.5167,Exact
1,Annaburg,Concentration Camp,Subcamp,Germany,51.7333,13.0333,Exact
1,Anrath bei Krefeld,Early Concentration Camp,N/A,Germany,51.2833,6.4667,Exact
1,Ansbach,Concentration Camp,Subcamp,Germany,49.3000,10.5833,Exact
1,Apolda,Concentration Camp,Subcamp,Germany,51.0167,11.5000,Exact
1,Arbeitsdorf,Concentration Camp,Main Camp,Germany,52.4167,10.7167,Exact
1,Arnheim [Arnhem],Concentration Camp,Subcamp,Netherlands,51.9833,5.9167,Exact
1,Arolsen,Concentration Camp,Subcamp,Germany,51.3667,9.0167,Exact
1,"Artern (Adorf, Rebstock Neu)",Concentration Camp,Subcamp,Germany,51.3667,11.3000,Exact
1,Aschersleben,Concentration Camp,Subcamp,Germany,51.7500,11.4667,Exact
1,Aseri (OT Ostländer Lager),Concentration Camp,Subcamp,Estonia,59.4500,26.8667,Exact
1,Aslau,Concentration Camp,Subcamp,Poland,51.3167,15.7500,Exact
1,"Audun-le-Tiche (Rowa, Deutsch-Oth)",Concentration Camp,Subcamp,Luxembourg,49.4667,5.9500,Exact
1,Aue,Concentration Camp,Subcamp,Germany,49.0833,11.2667,Exact
1,Augsburg - Horgau,Concentration Camp,Subcamp,Germany,48.3667,10.8833,Exact
1,"Aumale (INGA, SS-BB V)",Concentration Camp,Subcamp,France,49.7667,1.7500,Exact
1,Auschwitz I Main Camp,Concentration Camp,Main Camp,Poland,50.0262,19.2041,Exact
1,Auvere,Concentration Camp,Subcamp,Estonia,59.3456,27.9374,Exact
1,Babitz,Concentration Camp,Subcamp,Poland,50.1667,17.9167,Exact
1,Bachmanning,Concentration Camp,Subcamp,Austria,48.1167,13.8000,Exact
1,"Bad Ischl (Bad Ischl, Umsiedlerlager)",Concentration Camp,Subcamp,Austria,47.7167,13.6167,Exact
1,Bad Nauheim (OT- Polizeihaftlager),Concentration Camp,Subcamp,Germany,50.3667,8.7500,Exact
1,Bad Oberdorf,Concentration Camp,Subcamp,Germany,47.5000,10.3833,Exact
1,Bad Saarow,Concentration Camp,Subcamp,Germany,52.2833,14.0667,Exact
1,Bad Salzungen (Heinrich Kalb),Concentration Camp,Subcamp,Germany,50.8167,10.2333,Exact
1,Bad Sulza,Early Concentration Camp,N/A,Germany,51.0833,11.6000,Exact
1,Bad Tölz,Concentration Camp,Subcamp,Germany,47.7667,11.5667,Exact
1,Bad Warmbrunn,Concentration Camp,Subcamp,Czechia,50.0333,15.7000,Exact
1,Ballenstedt (Napola),Concentration Camp,Subcamp,Germany,51.7167,11.2333,Exact
1,Bamberg,Early Concentration Camp,N/A,Germany,49.8667,10.8667,Exact
1,Barth,Concentration Camp,Subcamp,Germany,54.3667,12.7333,Exact
1,Bausnitz,Concentration Camp,Subcamp,Czechia,50.5500,15.9833,Exact
1,Bautzen,Concentration Camp,Subcamp,Germany,51.1833,14.4333,Exact
1,Bautzen (Kupferhammer),Early Concentration Camp,N/A,Germany,51.1833,14.4333,Exact
1,Bayreuth,Concentration Camp,Subcamp,Germany,49.9500,11.5833,Exact
1,Bayreuth (St. Georg),Early Concentration Camp,N/A,Germany,49.9500,11.5833,Exact
1,Bayrischzell,Concentration Camp,Subcamp,Austria,47.6667,12.0167,Exact
1,"Beendorf (AIII, Helmstedt)",Concentration Camp,Subcamp,Germany,52.2333,11.0833,Exact
1,Beerfelde,Concentration Camp,Subcamp,Germany,52.4333,14.0500,Exact
1,Belzig,Concentration Camp,Subcamp,Germany,52.1333,12.6000,Exact
1,Benninghausen,Early Concentration Camp,N/A,Germany,51.6549,8.2443,Exact
1,"Bensberg (Kdo. Napola, SS-Bbde III)",Concentration Camp,Subcamp,Germany,50.9667,7.1667,Exact
1,Bensheim - Auerbach,Concentration Camp,Subcamp,Germany,49.6801,8.6158,Exact
1,Berga-Elster (Schwalbe V),Concentration Camp,Subcamp,Germany,51.8333,12.8333,Exact
1,Bergen-Belsen,Concentration Camp,Main Camp,Germany,52.7589,9.9071,Exact
1,Bergisch Gladbach (Stellawerk),Early Concentration Camp,N/A,Germany,50.9833,7.1333,Exact
1,Bergkamen-Schönhausen,Early Concentration Camp,N/A,Germany,51.6333,7.6333,Exact
1,Berlin (General-Pape-Strasse),Early Concentration Camp,N/A,Germany,52.5167,13.4000,Exact
1,Berlin (SS-Bbde II),Concentration Camp,Subcamp,Germany,52.5167,13.4000,Exact
1,Berlin - Hakenfelde,Concentration Camp,Subcamp,Germany,52.5167,13.4000,Exact
1,Berlstedt,Concentration Camp,Subcamp,Germany,51.0667,11.2500,Exact
1,Bernau,Concentration Camp,Subcamp,Germany,52.6667,13.5833,Exact
1,Bernsdorf,Concentration Camp,Subcamp,Czechia,50.6500,15.9667,Exact
1,Bersdorf - Friedeberg,Concentration Camp,Subcamp,Poland,51.0333,16.3000,Exact
1,Biesenthal,Concentration Camp,Subcamp,Germany,52.7667,13.6333,Exact
1,"Biesnitzer Grund (Görlitz, incl. Kunnerwitz, Rennersdorf)",Concentration Camp,Subcamp,Poland,51.1500,15.0167,Exact
1,Billroda,Concentration Camp,Subcamp,Germany,51.2000,11.4500,Exact
1,Birnbäumel,Concentration Camp,Subcamp,Poland,51.4667,17.1500,Exact
1,Bisingen,Concentration Camp,Subcamp,Germany,48.9500,9.1000,Exact
1,Bismarckhütte (Königshütte),Concentration Camp,Subcamp,Poland,50.2667,18.9500,Exact
1,Blaichach,Concentration Camp,Subcamp,Germany,47.5333,10.2667,Exact
1,Blankenburg-Oesig [Klosterwerke],Concentration Camp,Subcamp,Germany,51.7833,10.9500,Exact
1,Blechhammer,Concentration Camp,Subcamp,Poland,50.3667,18.2833,Exact
1,Bleicherode,Concentration Camp,Subcamp,Germany,51.4333,10.5833,Exact
