,LID,doc_link
0,3,/document/1261
1,6,/document/1262
2,8,/document/1263
3,14,/document/1264
4,16,/document/1265
5,39,/document/1266
6,43,/document/1267
7,47,/document/1268
8,54,/document/1270
9,60,/document/1272
10,61,/document/1273
11,817,/document/1274
12,819,/document/1276
13,820,/document/1277
14,821,/document/1278
15,80,/document/1282
16,93,/document/1286
17,94,/document/1287
18,125,/document/1289
19,826,/document/1290
20,827,/document/1294
21,182,/document/1297
22,232,/document/1299
23,235,/document/1300
24,238,/document/1301
25,251,/document/1302
26,258,/document/1304
27,269,/document/1305
28,278,/document/1308
29,281,/document/1309
30,290,/document/1310
31,293,/document/1311
32,297,/document/1312
33,320,/document/1314
34,361,/document/1315
35,369,/document/1316
36,832,/document/1317
37,833,/document/1318
38,411,/document/1324
39,419,/document/1325
40,430,/document/1327
41,448,/document/1328
42,486,/document/1332
43,834,/document/1333
44,524,/document/1336
45,539,/document/1338
46,541,/document/1339
47,545,/document/1340
48,547,/document/1341
49,551,/document/1342
50,556,/document/1344
51,563,/document/1345
52,568,/document/1346
53,588,/document/1348
54,603,/document/1350
55,626,/document/1351
56,634,/document/1352
57,650,/document/1353
58,668,/document/1354
59,676,/document/1355
60,699,/document/1357
61,703,/document/1358
62,705,/document/1359
63,745,/document/1361
64,754,/document/1362
65,765,/document/1363
66,768,/document/1365
67,791,/document/1366
68,811,/document/1368
69,812,/document/1369
70,813,/document/1370
71,30,/document/1373
72,844,/document/1374
73,846,/document/1377
74,11,/document/1378
75,32,/document/1379
76,76,/document/1381
77,79,/document/1382
78,104,/document/1383
79,108,/document/1384
80,118,/document/1385
81,162,/document/1387
82,201,/document/1388
83,208,/document/1389
84,230,/document/1390
85,847,/document/1391
86,848,/document/1392
87,849,/document/1393
88,234,/document/1394
89,264,/document/1395
90,286,/document/1396
91,309,/document/1397
92,335,/document/1400
93,348,/document/1401
94,400,/document/1403
95,415,/document/1404
96,431,/document/1405
97,498,/document/1406
98,510,/document/1407
99,592,/document/1409
100,594,/document/1410
101,850,/document/1411
102,678,/document/1412
103,727,/document/1413
104,729,/document/1414
105,15,/document/1427
106,18,/document/1428
107,21,/document/1429
108,38,/document/1432
109,852,/document/1433
110,64,/document/1436
111,70,/document/1437
112,81,/document/1438
113,114,/document/1440
114,91,/document/1441
115,112,/document/1442
116,125,/document/1443
117,136,/document/1445
118,141,/document/1447
119,142,/document/1448
120,149,/document/1449
121,153,/document/1451
122,172,/document/1456
123,858,/document/1459
124,196,/document/1460
125,228,/document/1463
126,236,/document/1464
127,263,/document/1465
128,859,/document/1469
129,285,/document/1473
130,306,/document/1474
131,336,/document/1475
132,347,/document/1476
133,861,/document/1477
134,863,/document/1480
135,380,/document/1481
136,413,/document/1483
137,430,/document/1489
138,455,/document/1496
139,467,/document/1497
140,525,/document/1502
